epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8246.15,1.31856,0.98224,1.21318,0.68888,0.8332,0.7786,0.51037,1.27731,0.78493,1.21185,0.008614,0.008614,0.008614
44,8436.64,1.3131,0.97113,1.21182,0.69073,0.83282,0.77908,0.51104,1.27708,0.78376,1.21166,0.008581,0.008581,0.008581
45,8628.31,1.3037,0.97045,1.20443,0.69024,0.83325,0.77967,0.51126,1.2764,0.78267,1.21096,0.008548,0.008548,0.008548
46,8819.49,1.3149,0.96804,1.20999,0.69095,0.83322,0.77953,0.51144,1.27551,0.78179,1.21038,0.008515,0.008515,0.008515
47,9010.74,1.31114,0.96959,1.20794,0.69173,0.83312,0.78016,0.51209,1.27475,0.78075,1.2097,0.008482,0.008482,0.008482
48,9201.75,1.3111,0.96937,1.20851,0.69218,0.83397,0.78031,0.51219,1.27416,0.77992,1.20918,0.008449,0.008449,0.008449
49,9392.77,1.30695,0.96612,1.20444,0.69051,0.83472,0.78048,0.51213,1.27366,0.77945,1.20872,0.008416,0.008416,0.008416
50,9583.37,1.30726,0.95724,1.20529,0.69038,0.8358,0.7808,0.51296,1.27296,0.77893,1.20844,0.008383,0.008383,0.008383
51,9774.37,1.30111,0.95343,1.20099,0.69278,0.83559,0.78086,0.51309,1.27244,0.77842,1.20786,0.00835,0.00835,0.00835
52,9965.39,1.30091,0.95134,1.20144,0.69268,0.83522,0.78157,0.51379,1.27188,0.77751,1.20743,0.008317,0.008317,0.008317
53,10156.6,1.29567,0.95056,1.19815,0.69323,0.83497,0.78172,0.51412,1.27101,0.77693,1.20696,0.008284,0.008284,0.008284
54,10347.5,1.30191,0.95598,1.20302,0.69341,0.83648,0.78228,0.51417,1.2701,0.77617,1.2064,0.008251,0.008251,0.008251
55,10538.7,1.29645,0.94892,1.19917,0.69337,0.83682,0.78302,0.51503,1.26945,0.77516,1.20603,0.008218,0.008218,0.008218
56,10729.6,1.2926,0.95104,1.19729,0.69401,0.83778,0.78367,0.51565,1.26898,0.77401,1.20545,0.008185,0.008185,0.008185
57,10920.3,1.29679,0.94267,1.2018,0.6943,0.83798,0.78366,0.51599,1.2682,0.77298,1.20486,0.008152,0.008152,0.008152
58,11110.8,1.3002,0.94601,1.19897,0.69507,0.8387,0.78395,0.51639,1.26746,0.77173,1.20435,0.008119,0.008119,0.008119
59,11301.4,1.29859,0.94587,1.19884,0.69719,0.83697,0.78495,0.51748,1.26697,0.77126,1.20381,0.008086,0.008086,0.008086
60,11492.3,1.28986,0.94594,1.19754,0.6946,0.8383,0.78486,0.51745,1.26649,0.77073,1.20332,0.008053,0.008053,0.008053
61,11683.6,1.29094,0.94483,1.19605,0.69472,0.8378,0.78503,0.51774,1.26626,0.77011,1.20291,0.00802,0.00802,0.00802
62,11874,1.28906,0.93561,1.19407,0.69568,0.8359,0.78479,0.51768,1.26567,0.76947,1.20246,0.007987,0.007987,0.007987
63,12064.3,1.28196,0.9329,1.1881,0.69542,0.83594,0.78478,0.51783,1.26523,0.76885,1.20196,0.007954,0.007954,0.007954
64,12254.8,1.29241,0.93607,1.19444,0.69525,0.83802,0.78557,0.5183,1.26483,0.76804,1.20152,0.007921,0.007921,0.007921
65,12445.3,1.2847,0.92897,1.18632,0.69578,0.83742,0.7859,0.51906,1.26432,0.76724,1.20097,0.007888,0.007888,0.007888
66,12635.6,1.28091,0.93315,1.18759,0.697,0.839,0.7862,0.51922,1.26353,0.76701,1.20021,0.007855,0.007855,0.007855
67,12826.6,1.28135,0.93084,1.19102,0.6984,0.83942,0.78645,0.51908,1.26308,0.76615,1.19971,0.007822,0.007822,0.007822
68,13016.9,1.27784,0.92446,1.18735,0.69984,0.83808,0.78692,0.51966,1.26242,0.76564,1.19885,0.007789,0.007789,0.007789
69,13207.4,1.28477,0.929,1.18965,0.69863,0.84044,0.78692,0.51956,1.26159,0.76473,1.19796,0.007756,0.007756,0.007756
70,13397.7,1.28151,0.9209,1.19153,0.69926,0.84047,0.78679,0.52003,1.26077,0.76408,1.19738,0.007723,0.007723,0.007723
71,13588.3,1.2876,0.92503,1.19495,0.70014,0.83995,0.78702,0.52001,1.26018,0.76305,1.19693,0.00769,0.00769,0.00769
72,13778.7,1.27929,0.92227,1.18616,0.70081,0.83991,0.78729,0.5206,1.25958,0.76207,1.19621,0.007657,0.007657,0.007657
73,13969.2,1.27375,0.91899,1.18512,0.70094,0.84172,0.78758,0.52086,1.25937,0.76121,1.19586,0.007624,0.007624,0.007624
74,14159.6,1.27669,0.92426,1.18334,0.70197,0.84123,0.78781,0.52132,1.25892,0.76085,1.19543,0.007591,0.007591,0.007591
75,14350.4,1.27573,0.92024,1.18504,0.70436,0.8403,0.78815,0.52195,1.2584,0.75993,1.19484,0.007558,0.007558,0.007558
76,14541,1.27359,0.91318,1.18327,0.70458,0.83962,0.78811,0.52184,1.25776,0.75912,1.19434,0.007525,0.007525,0.007525
77,14731.1,1.26942,0.91442,1.18009,0.70421,0.84001,0.7884,0.52239,1.25708,0.75854,1.19364,0.007492,0.007492,0.007492
78,14921.4,1.27393,0.91406,1.18075,0.70423,0.84036,0.78814,0.52231,1.25652,0.758,1.19283,0.007459,0.007459,0.007459
79,15111.5,1.26975,0.90945,1.18249,0.70511,0.84058,0.78805,0.52209,1.25595,0.75713,1.19235,0.007426,0.007426,0.007426
80,15301.7,1.27135,0.91403,1.18509,0.70566,0.84052,0.78838,0.52219,1.25512,0.75653,1.19174,0.007393,0.007393,0.007393
81,15491.9,1.26765,0.91336,1.18184,0.70397,0.84144,0.78819,0.52235,1.25468,0.75603,1.1913,0.00736,0.00736,0.00736
82,15682,1.26655,0.90983,1.17886,0.70345,0.84115,0.78825,0.52236,1.25433,0.75504,1.19064,0.007327,0.007327,0.007327
83,15872.3,1.26683,0.90939,1.17758,0.70394,0.8409,0.78848,0.5227,1.25397,0.75435,1.19014,0.007294,0.007294,0.007294
84,16062.7,1.26962,0.90724,1.17776,0.70383,0.8401,0.78903,0.52351,1.25348,0.75304,1.18966,0.007261,0.007261,0.007261
